Title;Source;DOI;Year Published;WOS number
Viability and Management Targets of Mediterranean Demersal Fisheries: The Case of the Aegean Sea;PLOS ONE;10.1371/journal.pone.0168694;2016;WOS:000391226900037
Environmental drivers explain regional variation of changes in fish and invertebrate functional groups across the Mediterranean Sea from 1994 to 2012;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11912;2016;WOS:000394183600002
A comparison of radionuclide dispersion model performances for the Baltic Sea and Fukushima releases in the Pacific Ocean;RADIOPROTECTION;10.1051/radiopro/2016053;2016;WOS:000391966900021
Assessing interacting impacts of artisanal and recreational fisheries in a small Marine Protected Area (Portofino, NW Mediterranean Sea);ECOSPHERE;10.1002/ecs2.1601;2016;WOS:000390136700019
Marine spatial planning and the Greek experience;MARINE POLICY;10.1016/j.marpol.2016.09.003;2016;WOS:000390494100003
Modelling the CO2 atmosphere-ocean flux in the upwelling zones using radiative transfer tools;JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS;10.1016/j.jastp.2016.10.015;2016;WOS:000389101600005
Five key attributes can increase marine protected areas performance for small-scale fisheries management;SCIENTIFIC REPORTS;10.1038/srep38135;2016;WOS:000388994200001
A behavioural approach of dominance establishment in tank-held sea bream (Sparus aurata L.) under different feeding conditions;AQUACULTURE RESEARCH;10.1111/are.12854;2016;WOS:000387663000031
Climate change effects on the marine characteristics of the Aegean and Ionian Seas;OCEAN DYNAMICS;10.1007/s10236-016-1008-1;2016;WOS:000387722600004
Assessment of the use of copper alloy aquaculture nets: Potential impacts on the marine environment and on the farmed fish;AQUACULTURE;10.1016/j.aquaculture.2016.09.016;2016;WOS:000385372200028
Socioeconomic impacts of marine protected areas in the Mediterranean and Black Seas;OCEAN & COASTAL MANAGEMENT;10.1016/j.ocecoaman.2016.09.001;2016;WOS:000386989900001
Observations and modelling of nearshore sediment sorting processes along a barred beach profile;COASTAL ENGINEERING;10.1016/j.coastaleng.2016.08.009;2016;WOS:000386322500005
Multidisciplinary oil spill modeling to protect coastal communities and the environment of the Eastern Mediterranean Sea;SCIENTIFIC REPORTS;10.1038/srep36882;2016;WOS:000387874100001
Towards Autonomous Modular UAV Missions: The Detection, Geo-Location and Landing Paradigm;SENSORS;10.3390/s16111844;2016;WOS:000389641700077
