Title;Source;DOI;Year Published;WOS Number
Establishing nursery estuary otolith geochemical tags for Sea Bass (Dicentrarchus labrax): Is temporal stability estuary dependent?;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2016.10.030;2016;WOS:000390726900010
Marine wind energy and the North Sea Offshore Grid Initiative: A Multi-Level Perspective on a stalled technology transition?;ENERGY RESEARCH & SOCIAL SCIENCE;10.1016/j.erss.2016.08.009;2016;WOS:000396395100006
WHAT HAVE WE LEARNED FROM OVER TWO DECADES OF MONITORING RIVERINE NUTRIENT INPUTS TO IRELAND'S MARINE ENVIRONMENT?;BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY;10.3318/BIOE.2016.23;2016;WOS:000393148900014
Energy Conversion: A Comparison of Fix- and Self-Referenced Wave Energy Converters;ENERGIES;10.3390/en9121056;2016;WOS:000392402700057
Development of a high resolution wave climate modelling methodology for offshore, nearshore and onshore locations of interest;INTERNATIONAL JOURNAL OF MARINE ENERGY;10.1016/j.ijome.2016.05.007;2016;WOS:000390812600003
Exploration for Late Cretaceous turbidites in the Equatorial African and northeast South American margins;NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW;10.1017/njg.2016.36;2016;WOS:000390416800003
Shallow subtidal octocorals in an Irish marine reserve;MARINE BIODIVERSITY;10.1007/s12526-016-0450-0;2016;WOS:000390002100015
Modelling cetacean distribution and mapping overlap with fisheries in the northeast Atlantic;OCEAN & COASTAL MANAGEMENT;10.1016/j.ocecoaman.2016.09.004;2016;WOS:000389101500014
Application of a weight of evidence approach utilising biological effects, histopathology and contaminant levels to assess the health and pollution status of Irish blue mussels (Mytilus edulis);MARINE ENVIRONMENTAL RESEARCH;10.1016/j.marenvres.2016.09.004;2016;WOS:000389098500004
The response of North Atlantic diadromous fish to multiple stressors, including land use change: a multidecadal study;CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES;10.1139/cjfas-2015-0450;2016;WOS:000388118700007
Outer shelf seafloor geomorphology along a carbonate escarpment: The eastern Malta Plateau, Mediterranean Sea;CONTINENTAL SHELF RESEARCH;10.1016/j.csr.2016.11.002;2016;WOS:000390515500002
Moving from consultation to participation: A case study of the involvement of fishermen in decisions relating to marine renewable energy projects on the island of Ireland;OCEAN & COASTAL MANAGEMENT;10.1016/j.ocecoaman.2016.09.030;2016;WOS:000389101500004
