Title;Source;DOI;Year Published;WOS number
Viability and Management Targets of Mediterranean Demersal Fisheries: The Case of the Aegean Sea;PLOS ONE;10.1371/journal.pone.0168694;2016;WOS:000391226900037
Environmental drivers explain regional variation of changes in fish and invertebrate functional groups across the Mediterranean Sea from 1994 to 2012;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11912;2016;WOS:000394183600002
The role of forcing agents on biogeochemical variability along the southwestern Adriatic coast: The Gulf of Manfredonia case study;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2016.10.033;2016;WOS:000390726900013
Seawater pH Predicted for the Year 2100 Affects the Metabolic Response to Feeding in Copepodites of the Arctic Copepod Calanus glacialis;PLOS ONE;10.1371/journal.pone.0168735;2016;WOS:000392842600096
A new search-and-rescue service in the Mediterranean Sea: a demonstration of the operational capability and an evaluation of its performance using real case scenarios;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;10.5194/nhess-16-2713-2016;2016;WOS:000391283600003
Sea surface microplastics in Slovenian part of the Northern Adriatic;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.10.031;2016;WOS:000390734600067
Plastic litter in sediments from a marine area likely to become protected (Aeolian Archipelago's islands, Tyrrhenian sea);MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.08.054;2016;WOS:000390734600084
Geomorphological features of the archaeological marine area of Sinuessa in Campania, southern Italy;QUATERNARY INTERNATIONAL;10.1016/j.quaint.2016.04.019;2016;WOS:000390534700017
Seawater intrusion in karstic, coastal aquifers: Current challenges and future scenarios in the Taranto area (southern Italy);SCIENCE OF THE TOTAL ENVIRONMENT;10.1016/j.scitotenv.2016.07.005;2016;WOS:000390071000129
Testing models of ice cap extent, South Georgia, sub-Antarctic;QUATERNARY SCIENCE REVIEWS;10.1016/j.quascirev.2016.11.007;2016;WOS:000390505700008
Marine Rapid Environmental Assessment in the Gulf of Taranto: a multiscale approach;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;10.5194/nhess-16-2623-2016;2016;WOS:000390770000002
Fish Distribution and Habitat Complexity on Banks of the Strait of Sicily (Central Mediterranean Sea) from Remotely-Operated Vehicle (ROV) Explorations;PLOS ONE;10.1371/journal.pone.0167809;2016;WOS:000389587100201
