Title;Source;DOI;Year Published;WOS Number
Rules for the governance of coastal and marine ecosystem services: An evaluative framework based on the IAD framework;LAND USE POLICY;10.1016/j.landusepol.2016.09.008;2016;WOS:000387519600027
Niche dimension differs among life-history stages of Pacific oysters in intertidal environments;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11961;2016;WOS:000394183600009
Naval sonar disrupts foraging in humpback whales;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11969;2016;WOS:000394183600016
A computationally efficient depression-filling algorithm for digital elevation models, applied to proglacial lake drainage;GEOSCIENTIFIC MODEL DEVELOPMENT;10.5194/gmd-9-4451-2016;2016;WOS:000391568000001
Last Interglacial climate and sea-level evolution from a coupled ice sheet-climate model;CLIMATE OF THE PAST;10.5194/cp-12-2195-2016;2016;WOS:000391282100001
Hydrodynamic effects of macrophyte microtopography: spatial consequences of interspecific benthic transitions;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11913;2016;WOS:000391695800009
Processes affecting the spatial distribution of seagrass meadow sedimentary material on Yao Yai Island, Thailand;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2016.09.018;2016;WOS:000390627700012
Bed shear stress estimation on an open intertidal flat using in situ measurements;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2016.08.028;2016;WOS:000390627700017
Magnitude and pattern of Arctic warming governed by the seasonality of radiative forcing;SCIENTIFIC REPORTS;10.1038/srep38287;2016;WOS:000389186400001
Sea-grass communities: structure, distribution and classification;PHYTOCOENOLOGIA;10.1127/phyto/2016/0099;2016;WOS:000395100500005
Quantifying the residual volume transport through a multiple-inlet system in response to wind forcing: The case of the western Dutch Wadden Sea;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS;10.1002/2016JC011807;2016;WOS:000393140400027
THE CHALLENGE OF THE DUTCH PORT-CITY INTERFACE;TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE;10.1111/tesg.12219;2016;WOS:000393305400010
Improvement of Tsunami Countermeasures Based on Lessons from The 2011 Great East Japan Earthquake and Tsunami - Situation After Five Years;COASTAL ENGINEERING JOURNAL;10.1142/S0578563416400118;2016;WOS:000392207000002
A comparison of radionuclide dispersion model performances for the Baltic Sea and Fukushima releases in the Pacific Ocean;RADIOPROTECTION;10.1051/radiopro/2016053;2016;WOS:000391966900021
Modelling fine-grained sediment transport in the Mahakam land-sea continuum, Indonesia;JOURNAL OF HYDRO-ENVIRONMENT RESEARCH;10.1016/j.jher.2015.04.005;2016;WOS:000390498800009
Wave breaking patterns control rip current flow regimes and surfzone retention;MARINE GEOLOGY;10.1016/j.margeo.2016.10.016;2016;WOS:000390626100013
New records of Early Cretaceous iguanodontian dinosaur remains from the Dutch sector of the North Sea;NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE-ABHANDLUNGEN;10.1127/njgpa/2016/0618;2016;WOS:000390692600004
Exploration for Late Cretaceous turbidites in the Equatorial African and northeast South American margins;NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW;10.1017/njg.2016.36;2016;WOS:000390416800003
Marine and anthropogenic controls on the estuary of the Suriname River over the past 50 years;NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW;10.1017/njg.2016.18;2016;WOS:000390416800005
Influence of retention basins on tidal dynamics in estuaries: Application to the Ems estuary;OCEAN & COASTAL MANAGEMENT;10.1016/j.ocecoaman.2016.10.010;2016;WOS:000389101500021
SiMoCo: the viability of a prototype platform for a coastal monitoring system: a case study;JOURNAL OF MARINE SCIENCE AND TECHNOLOGY;10.1007/s00773-016-0380-3;2016;WOS:000388260200007
