Title;Source;DOI;Year Published;WOS number
Widespread physical mixing of starry ray from differentiated populations and life histories in the North Atlantic;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11958;2016;WOS:000394183600010
Naval sonar disrupts foraging in humpback whales;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11969;2016;WOS:000394183600016
Viability and Management Targets of Mediterranean Demersal Fisheries: The Case of the Aegean Sea;PLOS ONE;10.1371/journal.pone.0168694;2016;WOS:000391226900037
Roles of density-dependent growth and life history evolution in accounting for fisheries-induced trait changes;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;10.1073/pnas.1525749113;2016;WOS:000391090800046
Technical note: Algal Pigment Index 2 in the Atlantic off the southwest Iberian Peninsula: standard and regional algorithms;OCEAN SCIENCE;10.5194/os-12-1279-2016;2016;WOS:000391567600001
First-Time Migration in Juvenile Common Cuckoos Documented by Satellite Tracking;PLoS One;10.1371/journal.pone.0168940;2016;WOS:000392843200112
Seawater pH Predicted for the Year 2100 Affects the Metabolic Response to Feeding in Copepodites of the Arctic Copepod Calanus glacialis;PLOS ONE;10.1371/journal.pone.0168735;2016;WOS:000392842600096
Baseline levels of oxidative stress biomarkers in species from a subtropical estuarine system (Paranagua Bay, southern Brazil);MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.08.014;2016;WOS:000390734600080
Greenland ice sheet retreat history in the northeast Baffin Bay based on high-resolution bathymetry;QUATERNARY SCIENCE REVIEWS;10.1016/j.quascirev.2016.10.022;2016;WOS:000390505700010
Modelling the effects of stranding on the Atlantic salmon population in the Dale River, Norway;SCIENCE OF THE TOTAL ENVIRONMENT;10.1016/j.scitotenv.2016.08.080;2016;WOS:000390071000054
A late Holocene record of solar-forced atmospheric blocking variability over Northern Europe inferred from varved lake sediments of Lake Kuninkaisenlampi;QUATERNARY SCIENCE REVIEWS;10.1016/j.quascirev.2016.10.019;2016;WOS:000390505700004
Food-limited growth of larval Atlantic herring Clupea harengus recurrently observed in a coastal nursery area;HELGOLAND MARINE RESEARCH;10.1186/s10152-016-0470-y;2016;WOS:000390203500001
Radar imaging of shallow water bathymetry: A case study in the Yangtze Estuary;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS;10.1002/2016JC011973;2016;WOS:000393140400023
Controls on the early Holocene collapse of the Bothnian Sea Ice Stream;JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE;10.1002/2016JF004050;2016;WOS:000392831800012
Risk Assessment and Design of Prevention Structures for Enhanced Tsunami Disaster Resilience (RAPSODI)/Euro-Japan Collaboration;COASTAL ENGINEERING JOURNAL;10.1142/S057856341640012X;2016;WOS:000392207000003
A comparison of radionuclide dispersion model performances for the Baltic Sea and Fukushima releases in the Pacific Ocean;RADIOPROTECTION;10.1051/radiopro/2016053;2016;WOS:000391966900021
Highly individualistic rates of plant phenological advance associated with arctic sea ice dynamics;BIOLOGY LETTERS;10.1098/rsbl.2016.0332;2016;WOS:000391105500001
Long photoperiods sustain high pH in Arctic kelp forests;SCIENCE ADVANCES;10.1126/sciadv.1501938;2016;WOS:000391268800002
Greenland Melt and the Atlantic Meridional Overturning Circulation;OCEANOGRAPHY;10.5670/oceanog.2016.96;2016;WOS:000390560400006
The 29th January 2014 submarine landslide at Statland, Norway-landslide dynamics, tsunami generation, and run-up;LANDSLIDES;10.1007/s10346-016-0758-7;2016;WOS:000390031600009
A year-round study on digestive enzymes in the Arctic copepod Calanus glacialis: implications for its capability to adjust to changing environmental conditions;POLAR BIOLOGY;10.1007/s00300-016-1891-4;2016;WOS:000390068600003
Sources of skill in near-term climate prediction: generating initial conditions;CLIMATE DYNAMICS;10.1007/s00382-016-3036-4;2016;WOS:000389605700006
Ship Collision Avoidance and COLREGS Compliance Using Simulation-Based Control Behavior Selection With Predictive Hazard Assessment;IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS;10.1109/TITS.2016.2551780;2016;WOS:000389344200007
Isostatic response to glacial erosion, deposition and ice loading. Impact on hydrocarbon traps of the southwestern Barents Sea;MARINE AND PETROLEUM GEOLOGY;10.1016/j.marpetgeo.2016.09.009;2016;WOS:000389087100012
CO2 leakage from carbon dioxide capture and storage (CCS) systems affects organic matter cycling in surface marine sediments;MARINE ENVIRONMENTAL RESEARCH;10.1016/j.marenvres.2016.10.007;2016;WOS:000389098500017
