Title;Source;DOI;Year Published;WOS Number
Technical note: Algal Pigment Index 2 in the Atlantic off the southwest Iberian Peninsula: standard and regional algorithms;OCEAN SCIENCE;10.5194/os-12-1279-2016;2016;WOS:000391567600001
A non-native macroalga is less attractive for herbivores but more susceptible to light limitation and grazing stress than a comparable native species;HELGOLAND MARINE RESEARCH;10.1186/s10152-016-0478-3;2016;WOS:000390206000001
Morphological response of the saltmarsh habitats of the Guadiana estuary due to flow regulation and sea-level rise;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2016.07.009;2016;WOS:000390965400005
Biophysical processes leading to the ingress of temperate fish larvae into estuarine nursery areas: A review;ESTUARINE COASTAL AND SHELF SCIENCE;10.1016/j.ecss.2016.10.022;2016;WOS:000390726900017
Combined proteomic and metallomic analyses in Scrobicularia plana clams to assess environmental pollution of estuarine ecosystems;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.08.075;2016;WOS:000390734600030
Occurrence of plastic debris in the stomach of the invasive crab Eriocheir sinensis;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.09.059;2016;WOS:000390734600057
Bioaccumulation of trace element concentrations in common dolphins (Delphinus delphis) from Portugal;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.10.033;2016;WOS:000390734600068
Sediment characteristics and microbiological contamination of beach sand - A case-study in the archipelago of Madeira;SCIENCE OF THE TOTAL ENVIRONMENT;10.1016/j.scitotenv.2016.08.160;2016;WOS:000390071000059
Bioaccumulation of metals and PCBs in Raja clavata;SCIENCE OF THE TOTAL ENVIRONMENT;10.1016/j.scitotenv.2016.08.187;2016;WOS:000390071000099
Energy reserves and cellular energy allocation studies: Should food supply be provided?;GEODERMA;10.1016/j.geoderma.2016.08.016;2016;WOS:000385322500006
