Title,Source,DOI,Year,Authenticus DT,WOS:000070984900003,Authenticus ID,Institution,NUTS II
A failure analysis study of wet liners in maritime diesel engines,ENGINEERING FAILURE ANALYSIS,10.1016/s1350-6307(01)00027-9,2002,Article,WOS:000175872800003,P-000-NE1,Universidade Técnica de Lisboa; Universidade Nova de Lisboa,AREA METROPOLITANA DE LISBOA
Flow over rough mobile beds: Friction factor and vertical distribution of the longitudinal mean velocity,WATER RESOURCES RESEARCH,10.1029/2011wr011126,2012,Article,WOS:000304253500002,P-002-A0A,Universidade Técnica de Lisboa; Universidade Nova de Lisboa,AREA METROPOLITANA DE LISBOA
Mechanisms underlying the halotolerant way of Debaryomyces hansenii,FEMS YEAST RESEARCH,10.1016/j.femsyr.2004.12.009,2005,Review,WOS:000229165900001,P-000-3J5,Universidade Técnica de Lisboa; Universidade Lusófona,AREA METROPOLITANA DE LISBOA
Survival of sardine larvae off the Atlantic Portuguese coast: a preliminary numerical study,ICES JOURNAL OF MARINE SCIENCE,10.1016/j.icesjms.2005.02.007,2005,Article,WOS:000229694200003,P-000-30V,Universidade Técnica de Lisboa; Universidade Lusófona,AREA METROPOLITANA DE LISBOA
An operational model for the West Iberian coast: products and services,OCEAN SCIENCE,10.5194/os-8-713-2012,2012,Article,WOS:000309616400020,P-002-F7N,Universidade Técnica de Lisboa; Universidade dos Açores,AREA METROPOLITANA DE LISBOA; REGIAO AUTONOMA DOS ACORES
Complex size-dependent habitat associations in potamodromous fish species,AQUATIC SCIENCES,10.1007/s00027-010-0172-5,2011,Article,WOS:000289793900005,P-002-S0Y,Universidade Técnica de Lisboa; Universidade do Porto; Universidade de Évora; Universidade de Lisboa; Universidade de Trás-os-Montes e Alto Douro,ALENTEJO; AREA METROPOLITANA DE LISBOA; NORTE
"Pigmentation of gilthead seabream, Sparus aurata (L. 1875), using Chlorella vulgaris (Chlorophyta, Volvocales) microalga",AQUACULTURE RESEARCH,10.1046/j.1365-2109.2002.00751.x,2002,Article,WOS:000178005800010,P-000-MQ1,Universidade Técnica de Lisboa; Universidade do Porto,ALGARVE; AREA METROPOLITANA DE LISBOA; NORTE
"Nutritional status of adult sea lamprey (Petromyzon marinus Linnaeus, 1758) during spawning migration in the Minho River, NW Iberian Peninsula",JOURNAL OF APPLIED ICHTHYOLOGY,10.1111/jai.12192,2013,Article,WOS:000321436500020,P-006-8V5,Universidade Técnica de Lisboa; Universidade do Porto,AREA METROPOLITANA DE LISBOA; NORTE
Cooperative AUV Motion Planning using Terrain Information,2013 MTS/IEEE OCEANS - BERGEN,NULL,2013,Proceedings Paper,WOS:000335313100195,P-008-FKZ,Universidade Técnica de Lisboa; Universidade do Porto,AREA METROPOLITANA DE LISBOA; NORTE
Joint ASV/AUV Range-Based Formation Control: Theory and Experimental Results,2013 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),10.1109/icra.2013.6631378,2013,Proceedings Paper,WOS:000337617305089,P-008-GE4,Universidade Técnica de Lisboa; Universidade do Porto,AREA METROPOLITANA DE LISBOA; NORTE
EXtreme ecosystem studies in the deep OCEan: Technological developments,"OCEANS 2007 - EUROPE, VOLS 1-3",NULL,2007,Proceedings Paper,WOS:000253702200187,P-007-JTY,Universidade Técnica de Lisboa; Universidade do Algarve; Universidade dos Açores,ALGARVE; AREA METROPOLITANA DE LISBOA; REGIAO AUTONOMA DOS ACORES
Using pigment level as a primary production indicator to assess organic matter variability in two linked wetland systems with different disturbance levels and its effect on secondary communities,AQUACULTURE INTERNATIONAL,10.1007/s10499-012-9539-z,2013,Article,WOS:000313653800009,P-002-10J,Universidade Técnica de Lisboa; Universidade do Algarve; Universidade de Lisboa; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Colonization process in soft-bottom macrofauna communities using azoic sediments: comparison of two wetland systems with different organic loads,FUNDAMENTAL AND APPLIED LIMNOLOGY,10.1127/1863-9135/2008/0171-0219,2008,Article,WOS:000257061500004,P-004-39Z,Universidade Técnica de Lisboa; Universidade do Algarve; Universidade de Lisboa,ALGARVE; AREA METROPOLITANA DE LISBOA
Estuarine biodiversity as an indicator of groundwater discharge,ESTUARINE COASTAL AND SHELF SCIENCE,10.1016/j.ecss.2011.11.006,2012,Article,WOS:000300745500005,P-002-DVB,Universidade Técnica de Lisboa; Universidade do Algarve; Universidade de Lisboa,ALGARVE; AREA METROPOLITANA DE LISBOA
Organic matter sources for tidal marsh sediment over the past two millennia in the Minho River estuary (NW Iberian Peninsula),ORGANIC GEOCHEMISTRY,10.1016/j.orggeochem.2012.06.014,2012,Article,WOS:000312605100005,P-002-2RQ,Universidade Técnica de Lisboa; Universidade do Algarve; Universidade de Lisboa,ALGARVE; AREA METROPOLITANA DE LISBOA
A circulation model for the European ocean margin,APPLIED MATHEMATICAL MODELLING,10.1016/s0307-904x(01)00069-5,2002,Article,WOS:000175327400001,P-000-PD1,Universidade Técnica de Lisboa; Universidade do Algarve,ALGARVE; AREA METROPOLITANA DE LISBOA
Modelling the influence of nutrient loads on Portuguese estuaries,HYDROBIOLOGIA,10.1007/s10750-007-0675-9,2007,Article,WOS:000247413500002,P-004-8E3,Universidade Técnica de Lisboa; Universidade do Algarve,ALGARVE; AREA METROPOLITANA DE LISBOA
Electrochemical Methods for Speciation of Trace Elements in Marine Waters. Dynamic Aspects,JOURNAL OF PHYSICAL CHEMISTRY A,10.1021/jp2124636,2012,Article,WOS:000305769800002,P-002-8V4,Universidade Técnica de Lisboa; Universidade do Algarve,ALGARVE; AREA METROPOLITANA DE LISBOA
Numerical tools to estimate the flux of a gas across the air-water interface and assess the heterogeneity of its forcing functions,OCEAN SCIENCE,10.5194/os-9-355-2013,2013,Article,WOS:000320348700010,P-006-G8C,Universidade Técnica de Lisboa; Universidade do Algarve,ALGARVE; AREA METROPOLITANA DE LISBOA
MARINE RADIOCARBON RESERVOIR EFFECT IN SOUTHERN ATLANTIC IBERIAN COAST,RADIOCARBON,10.1017/s0033822200048037,2013,Article,WOS:000325752100097,P-006-FGF,Universidade Técnica de Lisboa; Universidade do Algarve,ALGARVE; AREA METROPOLITANA DE LISBOA
"Effect of dietary conjugated linoleic acid on muscle, liver and visceral lipid deposition in rainbow trout juveniles (Oncorhynchus mykiss)",AQUACULTURE,10.1016/j.aquaculture.2005.10.034,2006,Article,WOS:000237838800052,P-004-M6D,Universidade Técnica de Lisboa; Universidade de Trás-os-Montes e Alto Douro; Universidade do Porto; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA; NORTE
"The organisation of fish assemblages in the regulated Lima basin, Northern Portugal",LIMNOLOGICA,10.1016/s0075-9511(04)80047-1,2004,Article,WOS:000225063900006,P-000-8C1,Universidade Técnica de Lisboa; Universidade de Trás-os-Montes e Alto Douro,AREA METROPOLITANA DE LISBOA; NORTE
"Analysis of horse mackerel, blue whiting, and hake catch data from Portuguese surveys (1989-1999) using an integrated GLM approach",AQUATIC LIVING RESOURCES,10.1051/alr:2007021,2007,Article,WOS:000248328400001,P-004-AQ7,Universidade Técnica de Lisboa; Universidade de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Qualitative modelling of fishermen's behaviour in a pelagic fishery,ECOLOGICAL MODELLING,10.1016/j.ecolmodel.2011.12.008,2012,Article,WOS:000301317500013,P-002-C4H,Universidade Técnica de Lisboa; Universidade de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Purification and characterisation of vanadium haloperoxidases from the brown alga Pelvetia canaliculata,PHYTOCHEMISTRY,10.1016/s0031-9422(99)00602-0,2000,Article,WOS:000087266000002,P-001-092,Universidade Técnica de Lisboa; Universidade de Lisboa,AREA METROPOLITANA DE LISBOA
Vanadium haloperoxidases from brown algae of the Laminariaceae family,PHYTOCHEMISTRY,10.1016/s0031-9422(01)00094-2,2001,Article,WOS:000169481100003,P-000-V4N,Universidade Técnica de Lisboa; Universidade de Lisboa,AREA METROPOLITANA DE LISBOA
Finding the Boundary between Eurosiberian and Mediterranean Salt Marshes,JOURNAL OF COASTAL RESEARCH,NULL,2009,Article,WOS:000266722400089,P-003-QXP,Universidade Técnica de Lisboa; Universidade de Lisboa,AREA METROPOLITANA DE LISBOA
Development of a novel mucosal vaccine against strangles by supercritical enhanced atomization spray-drying of Streptococcus equi extracts and evaluation in a mouse model,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,10.1016/j.ejpb.2012.07.005,2012,Article,WOS:000312043300019,P-002-4KN,Universidade Técnica de Lisboa; Universidade de Lisboa,AREA METROPOLITANA DE LISBOA
Compact low-cost detector for in vivo assessment of microphytobenthos using laser induced fluorescence,OPTICS AND SPECTROSCOPY,10.1134/s0030400x13030259,2013,Article,WOS:000316821400026,P-005-2QT,Universidade Técnica de Lisboa; Universidade de Lisboa,AREA METROPOLITANA DE LISBOA
A shallow-flow model for the propagation of tsunamis over complex geometries and mobile beds,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,10.5194/nhess-13-2533-2013,2013,Article,WOS:000326604600010,P-008-FED,Universidade Técnica de Lisboa; Universidade de Lisboa,AREA METROPOLITANA DE LISBOA
Mathematical modelling of shallow flows: Closure models drawn from grain-scale mechanics of sediment transport and flow hydrodynamics,CANADIAN JOURNAL OF CIVIL ENGINEERING,10.1139/l09-033,2009,Article,WOS:000272202400005,P-003-F63,Universidade Técnica de Lisboa; Universidade de Coimbra; Universidade Nova de Lisboa,AREA METROPOLITANA DE LISBOA; CENTRO
