Title;Source;DOI;Year Published;WOS number
Viability and Management Targets of Mediterranean Demersal Fisheries: The Case of the Aegean Sea;PLOS ONE;10.1371/journal.pone.0168694;2016;WOS:000391226900037
Environmental drivers explain regional variation of changes in fish and invertebrate functional groups across the Mediterranean Sea from 1994 to 2012;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11912;2016;WOS:000394183600002
Reproductive Biology of Albacore Tuna (Thunnus alalunga) in the Western Indian Ocean;PLOS ONE;10.1371/journal.pone.0168605;2016;WOS:000392853100057
Parasites, pathological conditions and resistance to Marteilia cochillia in lagoon cockle Cerastoderma glaucum from Galicia (NW Spain);DISEASES OF AQUATIC ORGANISMS;10.3354/dao03070;2016;WOS:000391695400004
Evidence of Cnidarians sensitivity to sound after exposure to low frequency noise underwater sources;SCIENTIFIC REPORTS;10.1038/srep37979;2016;WOS:000390202800001
Spatio-temporal monitoring of deep-sea communities using metabarcoding of sediment DNA and RNA;PEERJ;10.7717/peerj.2807;2016;WOS:000390663600009
Combined proteomic and metallomic analyses in Scrobicularia plana clams to assess environmental pollution of estuarine ecosystems;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.08.075;2016;WOS:000390734600030
Risk assessment for marine spills along European coastlines;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.09.015;2016;WOS:000390734600041
Bioaccumulation of trace element concentrations in common dolphins (Delphinus delphis) from Portugal;MARINE POLLUTION BULLETIN;10.1016/j.marpolbul.2016.10.033;2016;WOS:000390734600068
Relationship between legacy, and emerging organic pollutants in Antarctic seabirds and their foraging ecology as shown by delta C-13 and delta N-15;SCIENCE OF THE TOTAL ENVIRONMENT;10.1016/j.scitotenv.2016.07.080;2016;WOS:000390071000132
Hydrodynamic effects of macrophyte microtopography: spatial consequences of interspecific benthic transitions;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11913;2016;WOS:000391695800009
Environmental drivers of salp Thalia democratica population dynamics from in situ observations;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps11915;2016;WOS:000391695800014
Chemical characterization of humic-like substances (HULIS) in PM2.5 in Lanzhou, China;SCIENCE OF THE TOTAL ENVIRONMENT;10.1016/j.scitotenv.2016.08.025;2016;WOS:000390071000143
